"","X","feat_0","feat_1","feat_2","feat_3","feat_4","feat_5","feat_6","feat_7","feat_8","feat_9","Date","Ticker","Return","DB_RV_set_0.01","DB_RV_set_ES_0.01","DB_RV_set_0.025","DB_RV_set_ES_0.025","DB_RV_set_0.05","DB_RV_set_ES_0.05","DB_RV_set_0.95","DB_RV_set_ES_0.95","DB_RV_set_0.975","DB_RV_set_ES_0.975","DB_RV_set_0.99","DB_RV_set_ES_0.99"
"1",131800,-8.835794,-9.0333,-9.427066,-9.6423855,-9.194744,-9.512952,-9.687262,-10.13914,-4.8390455,-6.7567544,"2016-01-19","WMT",0.010121381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",131801,-9.532696,-9.517341,-10.135263,-10.325448,-9.645089,-9.773619,-10.1789,-10.527861,-7.4931507,-8.059013,"2016-01-20","WMT",-0.027878629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",131802,-8.913029,-8.940859,-9.708665,-9.51322,-8.981297,-9.119026,-9.833458,-9.537279,-6.426868,-6.555746,"2016-01-21","WMT",0.016949559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",131803,-9.08685,-9.109963,-9.604455,-9.993056,-8.991712,-9.070805,-9.421207,-10.043926,-6.8609195,-6.8925877,"2016-01-22","WMT",0.0130049195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",131804,-9.565664,-9.542462,-10.165267,-10.362017,-9.839968,-9.6446705,-10.359975,-10.742637,-6.564731,-8.419199,"2016-01-25","WMT",0.012050249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",131805,-9.547116,-9.555743,-10.104421,-10.3975,-9.701003,-9.818045,-10.105838,-10.800871,-7.401913,-7.782327,"2016-01-26","WMT",0.0086308895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",131806,-9.792031,-9.932601,-10.358083,-10.630809,-9.733848,-9.753403,-10.237657,-10.660752,-7.398097,-8.394914,"2016-01-27","WMT",-0.0007815553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",131807,-9.324094,-9.346119,-10.145298,-9.903735,-9.626518,-9.733582,-10.330059,-10.309376,-6.0965614,-8.225123,"2016-01-28","WMT",0.004213161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",131808,-9.455734,-9.547596,-10.12716,-10.171082,-9.523483,-9.565226,-10.270747,-10.165291,-7.2263985,-7.8157735,"2016-01-29","WMT",0.032779776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",131809,-9.801181,-9.934521,-10.33523,-10.683614,-9.790278,-9.744321,-10.171109,-10.940052,-8.173985,-8.551541,"2016-02-01","WMT",0.017033132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",131810,-9.432827,-9.536021,-10.003327,-10.265792,-9.707549,-9.74283,-10.135794,-10.762098,-7.0239673,-8.435068,"2016-02-02","WMT",-0.009526717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",131811,-9.583164,-9.558717,-10.3644,-10.195355,-9.638863,-9.670751,-10.395578,-10.27224,-7.2717533,-7.458544,"2016-02-03","WMT",-0.008863575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",131812,-9.034463,-9.162111,-9.8060465,-9.65488,-8.8352165,-8.945481,-9.674624,-9.400791,-6.22949,-6.093926,"2016-02-04","WMT",0.0022609099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",131813,-8.898814,-9.142346,-9.736139,-9.465975,-9.143971,-9.1540365,-9.834352,-9.839891,-4.4224987,-6.7134438,"2016-02-05","WMT",0.008694404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",131814,-8.968449,-9.07256,-9.74797,-9.582091,-9.007495,-8.867825,-9.733776,-9.668569,-6.136305,-7.140849,"2016-02-08","WMT",-0.0014936522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",131815,-8.992219,-9.15254,-9.703144,-9.667897,-9.441899,-9.539699,-10.181229,-10.0909,-5.4497223,-7.7948728,"2016-02-09","WMT",-0.016427165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",131816,-9.012366,-9.040265,-9.649659,-9.76467,-8.763762,-8.721171,-9.296136,-9.648576,-6.583536,-6.278479,"2016-02-10","WMT",-0.00030395135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",131817,-9.840971,-9.80906,-10.601795,-10.47073,-10.201203,-10.167378,-11.153927,-10.688454,-8.473381,-9.37245,"2016-02-11","WMT",-0.007169583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",131818,-9.305689,-9.326657,-9.85832,-10.162374,-9.497401,-9.686384,-9.978887,-10.459379,-6.6064267,-7.25519,"2016-02-12","WMT",0.013080034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",131819,-9.476176,-9.551513,-10.234048,-10.108533,-9.510224,-9.561756,-10.25375,-10.155407,-6.4420033,-7.2028966,"2016-02-16","WMT",-0.004239861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",131820,-9.914726,-9.955284,-10.780128,-10.460973,-9.738752,-9.740917,-10.927425,-10.102054,-8.080535,-7.790842,"2016-02-17","WMT",0.0031815798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",131821,-9.734714,-9.849659,-10.399294,-10.457264,-10.261935,-10.341654,-10.949417,-10.960774,-6.8213687,-9.197994,"2016-02-18","WMT",-0.030563693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
